siteId,gatewayId,name,desc,dataETLName,logicModel,value,formula,level,tsSource,remark
10,110,flow#1,ChilledWaterFlow#HDR,FlowU#1,normal,,,,,
11,103,flow#1,Feedwater Tank 1 Flow&Level,FlowU#1,formula,,,,,dataMapping???db??
11,103,flow#2,Feedwater Tank 2 Flow&Level,FlowU#2,formula,,,,,dataMapping???db??
14,118,flow#1,Tank Main Incoming,FlowU#1,normal,,,,,
14,118,flow#2,Lvl 2 & 3,FlowU#2,normal,,,,,
14,118,flow#3,Tank Main Outgoing,FlowU#3,normal,,,,,
14,118,flow#4,Hydrophonics,FlowU#4,normal,,,,,
15,0,flow#1,cleanroom 1 SectionA Air Flow,,,,,,,no data mapping
15,0,flow#2,cleanroom 1 SectionB Air Flow,,,,,,,no data mapping
15,0,flow#3,cleanroom 2 SectionA Air Flow,,,,,,,no data mapping
15,0,flow#4,cleanroom 2 SectionB Air Flow,,,,,,,no data mapping
16,119,flow#1,Glue Room Discharge,FlowU#3,normal,,,,,
16,119,flow#2,Boiler Make-up Water,FlowU#2,normal,,,,,
16,119,flow#3,Wastewater Room Discharge,FlowU#1,normal,,,,,
18,127,flow#1,Make-up Water,FlowU#1,normal,,,,,
18,127,flow#2,Bleed-off Water,FlowU#2,normal,,,,,
21,136,flow#1,CH-1 CHW Flow,FlowU#1,normal,,,,,
21,136,flow#2,CH-1 CW Flow,FlowU#2,normal,,,,,
21,136,flow#3,CH-2 CHW Flow,FlowU#3,normal,,,,,
21,136,flow#4,CH-2 CW Flow,FlowU#4,normal,,,,,
21,136,flow#5,CH-3 CHW Flow,FlowU#5,normal,,,,,
21,136,flow#6,CH-3 CW Flow,FlowU#6,normal,,,,,
22,138,flow#1,Water Tank Incoming,FlowU#1,normal,,,,,
22,139,flow#2,Dormitory,FlowU#2,normal,,,,,
22,138,flow#3,Office,FlowU#3,normal,,,,,
22,138,flow#4,Production Area,FlowU#4,normal,,,,,
22,138,flow#5,Green Wall,FlowU#5,normal,,,,,
23,148,flow#1,CH-1 CHW Flow,Flow#1,normal,,,,,
23,0,flow#2,CH-1 CW Flow,,,,,,,no data mapping
23,0,flow#3,CH-2 CHW Flow,,,,,,,no data mapping
23,148,flow#4,CH-2 CW Flow,Flow#4,normal,,,,,
23,148,flow#5,HDR CHWS Flow,Flow#5,normal,,,,,
23,148,flow#6,HDR CWS Flow,Flow#6,normal,,,,,
24,152,flow#1,HDR CHW Flow,Flow#1,normal,,,,,
24,152,flow#2,HDR CW Flow,Flow#2,normal,,,,,
25,131,flow#1,MakeUpWaterPipe,FlowU#1,normal,,,,,
25,131,flow#2,BlowDownPipe,FlowU#2,normal,,,,,
26,129,flow#1,MakeUpWaterPipe,FlowU#1,normal,,,,,
26,129,flow#2,BlowDownPipe,FlowU#2,normal,,,,,
29,141,flow#1,Office Air-Con,FlowU#1,normal,,,,,Make-up Water
29,141,flow#2,Dorm Room,FlowU#2,normal,,,,,Bleed-off Water
30,142,flow#1,Building,FlowU#1,normal,,,,,
32,144,flow#1,Dorm Rooftop Toilets,FlowU#1,normal,,,,,
32,144,flow#2,Level 2 Toilet A,FlowU#2,normal,,,,,
32,144,flow#3,Level 2 Toilet B,FlowU#3,normal,,,,,
32,144,flow#4,Level 1 Guard House Toilet,FlowU#4,normal,,,,,
32,144,flow#5,Level 1 Tanker,FlowU#5,normal,,,,,
40,156,flow#1,External,FlowU#1,normal,,,,,
40,157,flow#2,Level 2 Dormitory,FlowU#2,normal,,,,,
40,157,flow#3,Level 3 Dormitory,FlowU#3,normal,,,,,
40,157,flow#4,Level 4 Dormitory,FlowU#4,normal,,,,,
42,167,flow#1,HDR CHW Flowrate,FlowU#1,normal,,,,,
42,167,flow#2,Boiler Feedwater Flow rate,FlowU#2,normal,,,,,
44,168,flow#1,CH-1 CHW Flow,Flow#1,normal,,,,,
44,168,flow#10,HDR CW Flow,Flow#10,normal,,,,,
44,168,flow#2,CH-1 CW Flow,Flow#2,normal,,,,,
44,168,flow#3,CH-2 CHW Flow,Flow#3,normal,,,,,
44,168,flow#4,CH-2 CW Flow,Flow#4,normal,,,,,
44,168,flow#5,CH-3 CHW Flow,Flow#5,normal,,,,,
44,168,flow#6,CH-3 CW Flow,Flow#6,normal,,,,,
44,168,flow#7,CH-4 CHW Flow,Flow#7,normal,,,,,
44,168,flow#8,CH-4 CW Flow,Flow#8,normal,,,,,
